Date,Product,Brand,Category,Units,Revenue
2026-01-15,4/3 Wetsuit,O'Neill,Wetsuits,2,340
2026-01-16,Boardshorts 20",Billabong,Boardshorts,5,275
2026-01-17,Surfboard 6'2,Channel Islands,Surfboards,1,650
2026-01-18,Rash Guard LS,Rip Curl,Apparel,3,135
2026-01-20,Leash 9ft,FCS,Accessories,4,100
2026-02-01,4/3 Wetsuit,Rip Curl,Wetsuits,3,525
2026-02-03,Boardshorts 18",Quiksilver,Boardshorts,6,270
2026-02-10,Fins Thruster,FCS,Accessories,2,90
2026-02-14,Surfboard 7'0,Firewire,Surfboards,1,720
2026-02-20,Beanie,Billabong,Apparel,8,160
2026-03-01,4/3 Wetsuit,O'Neill,Wetsuits,1,170
2026-03-05,Boardshorts 20",Billabong,Boardshorts,4,220
2026-03-12,Surf Wax 3pk,Sticky Bumps,Accessories,10,50
2026-03-18,Wetsuit Boots,Rip Curl,Wetsuits,2,130
2026-03-25,Surfboard 6'8,Channel Islands,Surfboards,2,1400
